scenario,mode,config_label,samples,throughput_rps,avg_latency_ms,p95_latency_ms,error_rate_pct,p50_ms,p99_ms,max_ms,duration_s,file
A,b,B,35353,590.54,3.7,9,0.00,2,29,202,59.9,A_b_100u_20260501-153948.jtl
A,b,B,2386,39.92,2186.4,2984,0.00,2184,8035,9080,59.8,A_b_100u_20260504-133428.jtl
A,bs,B+S,35876,599.97,1.1,2,0.00,1,4,58,59.8,A_bs_100u_20260501-154057.jtl
A,bs,B+S,2464,41.27,2131.4,2816,0.00,2112,8085,8887,59.7,A_bs_100u_20260504-134157.jtl
A,bsk,B+S+K,35834,598.95,1.1,2,0.00,1,5,52,59.8,A_bsk_100u_20260501-154206.jtl
A,bsk,B+S+K,2441,40.91,2144.1,2827,0.00,2134,8166,8952,59.7,A_bsk_100u_20260504-134924.jtl
A,bsk_other,B+S+K+Other,35933,601.56,1.4,2,0.00,1,5,146,59.7,A_bsk_other_100u_20260501-154315.jtl
A,bsk_other,B+S+K+Other,2467,41.23,2114.3,2794,0.00,2112,7962,8711,59.8,A_bsk_other_100u_20260504-135653.jtl
B,b,B,165266,2769.34,209.9,418,100.00,418,418,418,59.7,B_b_100u_20260501-154424.jtl
B,b,B,17010,285.23,463.5,766,100.00,346,955,6353,59.6,B_b_100u_20260504-135938.jtl
B,bs,B+S,162298,2719.74,209.9,418,100.00,418,418,418,59.7,B_bs_100u_20260501-154534.jtl
B,bs,B+S,17032,285.57,463.2,761,100.00,346,914,7141,59.6,B_bs_100u_20260504-140702.jtl
B,bsk,B+S+K,162162,2716.24,209.9,418,100.00,418,418,418,59.7,B_bsk_100u_20260501-154643.jtl
B,bsk,B+S+K,17430,292.11,454.9,719,100.00,346,939,7943,59.7,B_bsk_100u_20260504-141428.jtl
B,bsk_other,B+S+K+Other,162020,2714.58,210.1,418,100.00,418,418,418,59.7,B_bsk_other_100u_20260501-154753.jtl
B,bsk_other,B+S+K+Other,17438,292.34,454.1,718,100.00,346,950,10027,59.6,B_bsk_other_100u_20260504-142153.jtl
C,b,B,35322,591.69,1.6,3,0.00,1,6,125,59.7,C_b_100u_20260501-154903.jtl
C,b,B,7525,126.04,580.8,986,0.00,545,1327,2745,59.7,C_b_100u_20260504-142435.jtl
C,bs,B+S,35857,599.07,1.2,4,0.00,1,6,28,59.9,C_bs_100u_20260501-155012.jtl
C,bs,B+S,7550,126.55,577.9,942,0.03,551,1309,3962,59.7,C_bs_100u_20260504-143200.jtl
C,bsk,B+S+K,35823,598.30,1.4,4,0.00,1,6,133,59.9,C_bsk_100u_20260501-155121.jtl
C,bsk,B+S+K,7774,130.32,556.0,955,0.00,524,1206,3960,59.7,C_bsk_100u_20260504-143940.jtl
C,bsk_other,B+S+K+Other,35876,600.57,1.4,4,0.00,1,7,146,59.7,C_bsk_other_100u_20260501-155230.jtl
C,bsk_other,B+S+K+Other,7903,132.16,546.9,872,0.00,507,1219,5827,59.8,C_bsk_other_100u_20260504-144706.jtl
D,b,B,5886,98.73,686.5,1533,0.00,594,1771,2176,59.6,D_b_100u_20260501-155339.jtl
D,b,B,5750,96.43,750.1,1394,13.22,696,1938,4821,59.6,D_b_100u_20260504-145005.jtl
D,bs,B+S,5450,91.47,766.1,1671,0.00,665,1935,2325,59.6,D_bs_100u_20260501-155448.jtl
D,bs,B+S,6360,106.55,651.3,1213,11.54,594,1542,3771,59.7,D_bs_100u_20260504-145730.jtl
D,bsk,B+S+K,4755,79.75,911.8,1928,0.00,788,2229,2641,59.6,D_bsk_100u_20260501-155559.jtl
D,bsk,B+S+K,6395,107.22,649.4,1198,12.51,589,1543,4473,59.6,D_bsk_100u_20260504-150457.jtl
D,bsk_other,B+S+K+Other,21448,359.53,4.0,4,0.00,1,9,947,59.7,D_bsk_other_100u_20260501-155710.jtl
D,bsk_other,B+S+K+Other,6494,108.65,633.0,1190,11.95,577,1475,4316,59.8,D_bsk_other_100u_20260504-151221.jtl
